order_id,order_date,product_id,quantity_ordered,customer_id,payment_type
1,01-01-22,101,1,1,Credit    
2,01-01-22,101,1,1,Credit    
3,03-01-22,101,1,1,Credit    
4,04-01-22,101,1,1,Credit    
5,05-01-22,101,1,1,Credit    
6,05-01-22,101,1,1,Credit    
7,06-01-22,101,1,1,Credit    
8,07-01-22,101,1,1,Credit    
9,07-01-22,101,1,1,Credit    
10,08-01-22,101,1,1,Credit    
11,08-01-22,101,1,1,Credit    
12,09-01-22,101,1,1,Credit    
13,09-01-22,101,1,1,Credit    
14,10-01-22,101,1,1,Credit    
15,10-01-22,101,1,1,Credit    
16,11-01-22,101,1,1,Credit    
17,11-01-22,101,1,1,Credit    
18,13-01-22,101,1,1,Credit    
19,14-01-22,101,1,1,Credit    
20,14-01-22,101,1,1,Credit    
21,14-01-22,101,1,1,Credit    
22,15-01-22,101,1,1,Credit    
23,16-01-22,101,1,1,Credit    
24,16-01-22,101,1,2,Credit    
25,17-01-22,101,1,2,Credit    
26,18-01-22,101,1,2,Credit    
27,18-01-22,101,1,2,Credit    
28,18-01-22,101,1,2,Credit    
29,18-01-22,101,1,2,Credit    
30,18-01-22,101,1,2,Credit    
31,19-01-22,101,1,2,Credit    
32,19-01-22,101,1,2,Credit    
33,20-01-22,101,1,2,Credit    
34,20-01-22,101,1,2,Credit    
35,21-01-22,101,1,2,Credit    
36,21-01-22,101,1,2,Credit    
37,22-01-22,101,1,2,Credit    
38,23-01-22,101,1,2,Credit    
39,24-01-22,101,1,2,Credit    
40,25-01-22,101,1,2,Credit    
41,26-01-22,101,1,2,Credit    
42,27-01-22,101,1,2,Credit    
43,27-01-22,101,1,2,Credit    
44,27-01-22,101,1,2,Credit    
45,27-01-22,101,1,2,Credit    
46,30-01-22,101,1,2,Credit    
47,31-01-22,101,1,2,Credit    
48,01-02-22,101,1,3,Credit    
49,02-02-22,101,1,3,Credit    
50,02-02-22,101,1,3,Credit    
51,02-02-22,101,1,3,Credit    
52,03-02-22,101,1,3,Credit    
53,03-02-22,101,1,3,Credit    
54,06-02-22,101,1,3,Credit    
55,09-02-22,101,1,3,Credit    
56,11-02-22,101,1,3,Credit    
57,12-02-22,101,1,3,Credit    
58,12-02-22,101,1,3,Credit    
59,13-02-22,101,1,3,Credit    
60,14-02-22,101,1,3,Credit    
61,14-02-22,101,1,3,Credit    
62,17-02-22,101,1,4,Credit    
63,17-02-22,101,1,4,Credit    
64,17-02-22,101,1,4,Credit    
65,17-02-22,101,1,4,Credit    
66,18-02-22,101,1,4,Credit    
67,18-02-22,101,1,4,Credit    
68,18-02-22,101,1,4,Credit    
69,18-02-22,101,1,4,Credit    
70,20-02-22,101,1,4,Credit    
71,20-02-22,101,1,4,Credit    
72,21-02-22,101,1,4,Credit    
73,21-02-22,101,1,4,Credit    
74,22-02-22,101,1,4,Credit    
75,22-02-22,101,1,4,Credit    
76,22-02-22,101,1,4,Credit    
77,24-02-22,101,1,4,Credit    
78,24-02-22,101,1,4,Credit    
79,28-02-22,101,1,4,Credit    
80,01-03-22,101,1,4,Credit    
81,02-03-22,101,1,4,Credit    
82,02-03-22,101,1,4,Credit    
83,03-03-22,101,1,4,Credit    
84,03-03-22,101,1,4,Credit    
85,05-03-22,101,1,5,Credit    
86,06-03-22,101,1,5,Credit    
87,08-03-22,101,1,5,Credit    
88,08-03-22,101,1,5,Credit    
89,08-03-22,101,1,5,Credit    
90,09-03-22,101,1,5,Credit    
91,09-03-22,101,1,5,Credit    
92,09-03-22,101,1,5,Credit    
93,09-03-22,101,1,5,Credit    
94,10-03-22,101,1,5,Credit    
95,12-03-22,101,1,5,Credit    
96,13-03-22,101,1,5,Credit    
97,13-03-22,101,1,5,Credit    
98,14-03-22,101,1,5,Credit    
99,16-03-22,101,1,5,Credit    
100,16-03-22,101,1,5,Credit    
101,16-03-22,101,1,5,Credit    
102,17-03-22,101,1,5,Credit    
103,18-03-22,101,1,5,Credit    
104,20-03-22,102,1,6,Credit    
105,21-03-22,102,1,6,Credit    
106,21-03-22,102,1,6,Credit    
107,22-03-22,102,1,6,Credit    
108,24-03-22,102,1,6,Credit    
109,25-03-22,102,1,6,Credit    
110,26-03-22,102,1,6,Credit    
111,26-03-22,102,1,6,Credit    
112,28-03-22,102,1,6,Credit    
113,29-03-22,102,1,6,Credit    
114,29-03-22,102,1,6,Credit    
115,02-04-22,102,1,6,Credit    
116,03-04-22,102,1,7,Credit    
117,04-04-22,102,1,7,Credit    
118,04-04-22,102,1,7,Credit    
119,05-04-22,102,1,7,Credit    
120,06-04-22,102,1,7,Credit    
121,06-04-22,102,1,7,Credit    
122,06-04-22,102,1,7,Credit    
123,06-04-22,102,1,7,Credit    
124,08-04-22,102,1,7,Credit    
125,08-04-22,102,1,7,Credit    
126,08-04-22,102,1,7,Credit    
127,09-04-22,102,1,7,Credit    
128,09-04-22,102,1,7,Credit    
129,09-04-22,102,1,7,Credit    
130,10-04-22,102,1,7,Credit    
131,10-04-22,102,1,7,Credit    
132,10-04-22,102,1,7,Credit    
133,11-04-22,102,1,7,Credit    
134,11-04-22,102,1,7,Credit    
135,12-04-22,102,1,7,Credit    
136,12-04-22,102,1,7,Credit    
137,12-04-22,102,1,7,Credit    
138,13-04-22,102,1,7,Credit    
139,14-04-22,102,1,7,Credit    
140,15-04-22,102,1,7,Credit    
141,16-04-22,102,1,7,Credit    
142,17-04-22,102,1,7,Credit    
143,18-04-22,102,1,7,Credit    
144,19-04-22,102,1,8,Credit    
145,19-04-22,102,1,8,Credit    
146,23-04-22,102,1,8,Credit    
147,23-04-22,102,1,8,Credit    
148,25-04-22,102,1,8,Credit    
149,25-04-22,102,1,8,Credit    
150,26-04-22,102,1,8,Credit    
151,27-04-22,102,1,8,Credit    
152,28-04-22,102,1,8,Credit    
153,29-04-22,102,1,8,Credit    
154,29-04-22,102,1,8,Credit    
155,29-04-22,102,1,8,Credit    
156,30-04-22,102,1,8,Credit    
157,30-04-22,102,1,8,Credit    
158,30-04-22,102,1,8,Credit    
159,01-05-22,102,1,8,Credit    
160,02-05-22,102,1,8,Credit    
161,02-05-22,102,1,8,Credit    
162,02-05-22,102,1,8,Credit    
163,03-05-22,102,1,8,Credit    
164,03-05-22,102,1,8,Credit    
165,03-05-22,102,1,9,Credit    
166,05-05-22,102,1,9,Credit    
167,05-05-22,102,1,9,Credit    
168,06-05-22,102,1,9,Credit    
169,07-05-22,102,1,9,Credit    
170,08-05-22,102,1,9,Credit    
171,10-05-22,102,1,9,Credit    
172,10-05-22,102,1,9,Credit    
173,11-05-22,102,1,9,Credit    
174,13-05-22,102,1,9,Credit    
175,13-05-22,102,1,9,Credit    
176,13-05-22,102,1,9,Credit    
177,14-05-22,102,1,9,Credit    
178,15-05-22,102,1,9,Credit    
179,15-05-22,102,1,9,Credit    
180,15-05-22,102,1,9,Credit    
181,15-05-22,102,1,9,Credit    
182,17-05-22,102,1,9,Credit    
183,17-05-22,102,1,9,Credit    
184,18-05-22,102,1,9,Credit    
185,18-05-22,102,1,9,Credit    
186,20-05-22,102,1,10,Credit    
187,20-05-22,102,1,10,Credit    
188,22-05-22,102,1,10,Credit    
189,22-05-22,102,1,10,Credit    
190,23-05-22,102,1,10,Credit    
191,23-05-22,102,1,10,Credit    
192,24-05-22,102,1,10,Credit    
193,24-05-22,102,1,10,Credit    
194,25-05-22,102,1,10,Credit    
195,25-05-22,102,1,10,Credit    
196,26-05-22,102,1,10,Credit    
197,26-05-22,102,1,10,Credit    
198,27-05-22,102,1,10,Credit    
199,27-05-22,102,1,10,Credit    
200,28-05-22,102,1,10,Credit    
201,30-05-22,102,1,10,Credit    
202,30-05-22,102,1,10,Credit    
203,31-05-22,102,1,10,Credit    
204,31-05-22,102,1,10,Credit    
205,31-05-22,102,1,10,Credit    
206,31-05-22,102,1,10,Credit    
207,01-06-22,102,1,10,Credit    
208,03-06-22,103,2,11,Credit    
209,05-06-22,103,2,11,Credit    
210,07-06-22,103,2,11,Credit    
211,07-06-22,103,2,11,Credit    
212,08-06-22,103,2,11,Credit    
213,08-06-22,103,2,11,Credit    
214,09-06-22,103,2,11,Credit    
215,09-06-22,103,2,11,Credit    
216,10-06-22,103,2,11,Credit    
217,11-06-22,103,2,11,Credit    
218,11-06-22,103,2,11,Credit    
219,12-06-22,103,2,11,Credit    
220,12-06-22,103,2,11,Credit    
221,13-06-22,103,2,11,Credit    
222,13-06-22,103,2,11,Credit    
223,14-06-22,103,2,11,Credit    
224,14-06-22,103,2,11,Credit    
225,15-06-22,103,2,11,Credit    
226,18-06-22,103,2,11,Credit    
227,19-06-22,103,2,12,Credit    
228,20-06-22,103,2,12,Credit    
229,20-06-22,103,2,12,Credit    
230,21-06-22,103,2,12,Credit    
231,23-06-22,103,2,12,Credit    
232,23-06-22,103,2,12,Credit    
233,24-06-22,103,2,12,Credit    
234,25-06-22,103,2,12,Credit    
235,26-06-22,103,2,12,Credit    
236,26-06-22,103,2,12,Credit    
237,27-06-22,103,2,12,Credit    
238,27-06-22,103,2,12,Credit    
239,28-06-22,103,2,12,Credit    
240,01-07-22,103,2,12,Credit    
